Folder Name,TOTAL ENERGY [Eh],HOMO-LUMO GAP [eV],HOMO [eV],LUMO [eV],GRADIENT NORM [Eh/a0],TOTAL RUN TIME [sec]
Gen_molecular_pairs_cal/mol_1_1.xyz,-44.128210955765,2.646360113535,-11.2008,-8.5544,0.000216608642,1108.177
Gen_molecular_pairs_cal/mol_1_2.xyz,-44.121428695825,2.628691091396,-11.183,-8.5543,0.000664371929,157.249
Gen_molecular_pairs_cal/mol_1_3.xyz,-44.128210147517,2.646801797781,-11.2025,-8.5557,0.000379275881,2063.293
Gen_molecular_pairs_cal/mol_1_4.xyz,-44.128209819963,2.646422219201,-11.2016,-8.5552,0.000462254649,1102.483
Gen_molecular_pairs_cal/mol_1_5.xyz,-44.128209664834,2.646522813475,-11.2018,-8.5553,0.000204450102,1328.131
Gen_molecular_pairs_cal/mol_1_6.xyz,-44.128211004805,2.646240502135,-11.2011,-8.5549,0.000115633401,1380.985
Gen_molecular_pairs_cal/mol_1_7.xyz,-44.128210295388,2.64657322541,-11.2008,-8.5542,0.000223194896,1313.728
Gen_molecular_pairs_cal/mol_1_8.xyz,-44.128222071318,2.629581822389,-11.4013,-8.7717,0.000215191528,1284.974
Gen_molecular_pairs_cal/mol_1_9.xyz,-44.13276629038,2.565631110178,-10.9512,-8.3856,0.000356428278,2005.47
Gen_molecular_pairs_cal/mol_1_10.xyz,-44.123906458718,2.635603787528,-11.0987,-8.4631,0.001036929618,840.746
Gen_molecular_pairs_cal/mol_2_1.xyz,-43.554760446198,2.243044387825,-11.4024,-9.1593,0.000306497017,780.141
Gen_molecular_pairs_cal/mol_2_2.xyz,-43.553877282687,2.251232771776,-11.1762,-8.925,0.000292964926,1078.679
Gen_molecular_pairs_cal/mol_2_3.xyz,-43.554762110128,2.243173947658,-11.4038,-9.1607,0.000253819071,1253.885
Gen_molecular_pairs_cal/mol_2_4.xyz,-43.554715656728,2.242914829109,-11.4049,-9.1619,0.001059370143,1506.851
Gen_molecular_pairs_cal/mol_2_5.xyz,-43.554002397762,2.233102272601,-11.0694,-8.8363,0.000483512192,752.206
Gen_molecular_pairs_cal/mol_2_6.xyz,-43.5540053291,2.233881964204,-11.0681,-8.8342,0.000210390176,814.873
Gen_molecular_pairs_cal/mol_2_7.xyz,-43.554004834631,2.234037574919,-11.0691,-8.835,0.000187538283,616.624
Gen_molecular_pairs_cal/mol_2_8.xyz,-43.554003683381,2.234314565445,-11.0675,-8.8332,0.000499380053,904.039
Gen_molecular_pairs_cal/mol_2_9.xyz,-43.55372289413,2.23055821367,-11.0865,-8.8559,0.000561580785,743.556
Gen_molecular_pairs_cal/mol_2_10.xyz,-43.553995320141,2.232434732666,-11.061,-8.8285,0.000306393056,660.436
Gen_molecular_pairs_cal/mol_4_1.xyz,-74.30310632558,1.747110219432,-9.7492,-8.0021,0.000949555946,460.506
Gen_molecular_pairs_cal/mol_4_2.xyz,-74.304269553555,1.746596866077,-9.5398,-7.7932,0.001036821942,138.156
Gen_molecular_pairs_cal/mol_4_3.xyz,-74.31674807041,1.759017981222,-9.6093,-7.8503,0.000317128058,2150.88
Gen_molecular_pairs_cal/mol_4_4.xyz,-74.304150033858,1.747810574253,-9.5494,-7.8016,0.000656711279,122.804
Gen_molecular_pairs_cal/mol_4_5.xyz,-74.308109099657,1.737848850571,-9.4587,-7.7209,0.000446681288,847.171
Gen_molecular_pairs_cal/mol_4_6.xyz,-74.30795011143,1.739479092859,-9.423,-7.6835,0.000561464424,438.634
Gen_molecular_pairs_cal/mol_4_7.xyz,-74.308077987835,1.737627985978,-9.4464,-7.7088,0.000404677129,1141.484
Gen_molecular_pairs_cal/mol_4_8.xyz,-74.308109794903,1.737657750825,-9.4575,-7.7199,0.000239269345,1299.855
Gen_molecular_pairs_cal/mol_4_9.xyz,-74.316033823177,1.814595408343,-9.7391,-7.9245,0.003806783371,1991.783
Gen_molecular_pairs_cal/mol_4_10.xyz,-74.316743703103,1.759541521221,-9.6083,-7.8487,0.000335347956,1669.242
